learning_rate,layer1,val_size,min_val_mae,min_val_mse,min_train_mse
0.001,1,98,2.8954,10.6314,10.6385
0.001,1,98,3.1385,12.2362,12.0976
0.001,1,98,2.479,8.8327,8.5434
0.001,1,98,2.8078,10.2626,9.9649
0.001,1,98,2.6837,9.5299,10.2152
0.001,1,98,3.2434,13.0052,12.9431
0.001,1,98,2.359,7.9711,7.6433
0.001,1,98,2.7156,9.9144,9.0739
0.001,1,98,2.8981,10.5257,10.9079
0.001,1,98,2.3867,7.7693,8.5789
0.001,2,98,3.0689,11.6028,11.9498
0.001,2,98,2.6776,9.2397,9.4011
0.001,2,98,2.3468,7.8132,7.7788
0.001,2,98,3.077,11.7067,12.0667
0.001,2,98,2.2986,7.1008,7.7399
0.001,2,98,2.5823,9.4531,8.7461
0.001,2,98,2.7828,10.2796,10.0821
0.001,2,98,2.5223,8.3304,8.3417
0.001,3,98,2.2888,7.134,7.1858
0.001,3,98,2.2187,7.1927,6.5553
0.001,3,98,2.3836,7.7948,7.6209
0.001,3,98,2.229,7.1019,7.0007
0.001,3,98,1.7608,4.4745,4.5753
0.001,3,98,2.1182,6.5841,5.9605
0.001,3,98,2.1209,6.3662,6.6712
0.001,4,98,2.021,5.9844,6.0211
0.001,4,98,2.0099,5.8665,5.8479
0.001,4,98,2.5887,9.0053,8.5707
0.001,4,98,2.01,5.7191,5.9057
0.001,4,98,2.1127,6.3598,6.0521
0.001,4,98,2.016,6.0683,5.7309
0.001,4,98,1.9477,5.9716,5.7542
0.001,4,98,1.902,5.1874,5.5975
0.001,4,98,1.8954,5.4618,5.4039
0.001,4,98,2.115,6.4416,6.4028
0.001,4,98,1.8102,4.9225,5.4282
0.001,4,98,2.2689,7.2696,6.8536
0.001,4,98,1.8599,5.5784,5.0123
0.001,4,98,2.1483,6.8805,6.5751
0.001,4,98,1.7572,4.4464,5.2284
0.001,4,98,1.8833,5.5245,5.3329
0.001,5,98,2.1491,6.6,6.1467
0.001,5,98,2.1357,6.4527,6.6614
0.001,5,98,2.1384,6.6319,6.2502
0.001,5,98,2.316,7.7006,7.2246
0.001,5,98,1.8509,5.5555,4.9896
0.001,5,98,1.9745,5.2769,5.7442
0.001,5,98,1.7203,4.4002,4.3397
0.001,5,98,2.0146,5.8163,5.5565
0.001,5,98,1.9113,5.3137,5.2999
0.001,5,98,2.076,6.3376,5.747
0.001,5,98,1.5219,3.5703,3.6609
0.001,6,98,1.9134,5.6582,5.0095
0.001,6,98,1.9806,6.2331,5.5303
0.001,6,98,1.6581,4.1388,4.3892
0.001,6,98,1.7477,4.5213,4.6087
0.001,6,98,2.1852,7.2325,7.0132
0.001,6,98,1.974,6.3346,5.6892
0.001,6,98,1.8308,5.0745,5.2163
